date_parsed,program_title,station,top3_nonconf_min,all_nonconf_min,news_pressure_uncorrected,news_pressure_corrected,conflict_any,conflict_total_min,n_stories
2005-01-29,CBS Evening News,CBS,9.833333333333334,27.66666666666667,9.833333333333334,10.662650602409636,1.0,0.3333333333333333,15.0
2005-01-30,ABC Evening News,ABC,11.833333333333334,23.66666666666667,11.833333333333334,14.999999999999996,0.0,0.0,12.0
2005-01-30,CBS Evening News,CBS,10.166666666666668,28.0,10.166666666666668,10.892857142857144,1.0,0.3333333333333333,13.0
2005-01-31,ABC Evening News,ABC,9.666666666666668,28.333333333333332,9.666666666666668,10.235294117647062,0.0,0.0,17.0
2005-01-31,CBS Evening News,CBS,11.333333333333334,28.5,11.333333333333334,11.929824561403509,0.0,0.0,16.0
2005-02-01,ABC Evening News,ABC,10.666666666666668,28.166666666666668,10.666666666666668,11.360946745562131,0.0,0.0,15.0
2005-02-01,CBS Evening News,CBS,5.333333333333334,28.333333333333336,5.333333333333334,5.647058823529412,0.0,0.0,17.0
2005-02-02,ABC Evening News,ABC,10.666666666666666,27.833333333333332,10.666666666666666,11.497005988023952,1.0,0.3333333333333333,17.0
2005-02-02,CBS Evening News,CBS,6.666666666666667,28.000000000000004,6.666666666666667,7.142857142857142,0.0,0.0,17.0
2005-02-03,ABC Evening News,ABC,11.166666666666666,28.500000000000004,11.166666666666666,11.754385964912279,0.0,0.0,15.0
2005-02-03,CBS Evening News,CBS,5.999999999999999,28.333333333333332,5.999999999999999,6.352941176470588,0.0,0.0,19.0
2005-02-04,ABC Evening News,ABC,5.333333333333333,28.16666666666667,5.333333333333333,5.680473372781064,0.0,0.0,18.0
2005-02-04,CBS Evening News,CBS,4.5,27.833333333333332,4.5,4.850299401197605,0.0,0.0,21.0
2005-02-05,ABC Evening News,ABC,4.666666666666666,28.166666666666668,4.666666666666666,4.970414201183431,0.0,0.0,16.0
2005-02-05,CBS Evening News,CBS,5.0,28.0,5.0,5.357142857142857,0.0,0.0,16.0
2005-02-06,ABC Evening News,ABC,3.0,24.0,3.0,3.75,1.0,4.666666666666667,17.0
2005-02-06,CBS Evening News,CBS,6.833333333333334,26.333333333333336,6.833333333333334,7.784810126582279,1.0,2.1666666666666665,17.0
